PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION
1631260,AJ Green,1610612749,MIL
1631100,AJ Griffin,1610612737,ATL
1630639,AJ Lawson,1610612742,DAL
203932,Aaron Gordon,1610612743,DEN
1628988,Aaron Holiday,1610612745,HOU
1630174,Aaron Nesmith,1610612754,IND
1630598,Aaron Wiggins,1610612760,OKC
1641745,Adam Flagler,1610612760,OKC
1641766,Adama Sanogo,1610612741,CHI
1629678,Admiral Schofield,1610612753,ORL
201143,Al Horford,1610612738,BOS
202692,Alec Burks,1610612752,NYK
1630197,Aleksej Pokusevski,1610612766,CHA
1627936,Alex Caruso,1610612741,CHI
1641788,Alex Fudge,1610612742,DAL
203458,Alex Len,1610612758,SAC
1631214,Alondes Williams,1610612748,MIA
1630578,Alperen Sengun,1610612745,HOU
1641735,Amari Bailey,1610612766,CHA
1641708,Amen Thompson,1610612745,HOU
1629599,Amir Coffey,1610612746,LAC
203083,Andre Drummond,1610612741,CHI
1641748,Andre Jackson Jr.,1610612749,MIL
1641847,Andrew Funk,1610612741,CHI
1629614,Andrew Nembhard,1610612754,IND
203952,Andrew Wiggins,1610612744,GSW
1629014,Anfernee Simons,1610612757,POR
1641710,Anthony Black,1610612753,ORL
203076,Anthony Davis,1610612747,LAL
1630162,Anthony Edwards,1610612750,MIN
1630264,Anthony Gill,1610612764,WAS
1629717,Armoni Brooks,1610612751,BKN
1630204,Ashton Hagans,1610612757,POR
1641709,Ausar Thompson,1610612765,DET
1630559,Austin Reaves,1610612747,LAL
1630245,Ayo Dosunmu,1610612741,CHI
1628389,Bam Adebayo,1610612748,MIA
1641767,Ben Sheppard,1610612754,IND
1627732,Ben Simmons,1610612751,BKN
1631097,Bennedict Mathurin,1610612754,IND
1641731,Bilal Coulibaly,1610612764,WAS
202687,Bismack Biyombo,1610612760,OKC
1631104,Blake Wesley,1610612759,SAS
1626246,Boban Marjanovic,1610612745,HOU
1626171,Bobby Portis,1610612749,MIL
203992,Bogdan Bogdanovic,1610612737,ATL
202711,Bojan Bogdanovic,1610612752,NYK
1629626,Bol Bol,1610612756,PHX
1630538,Bones Hyland,1610612746,LAC
203078,Bradley Beal,1610612756,PHX
1641764,Brandin Podziemski,1610612744,GSW
1630527,Brandon Boston Jr.,1610612746,LAC
1629634,Brandon Clarke,1610612763,MEM
1627742,Brandon Ingram,1610612740,NOP
1641706,Brandon Miller,1610612766,CHA
1630314,Brandon Williams,1610612742,DAL
1630296,Braxton Key,1610612743,DEN
1641729,Brice Sensabaugh,1610612762,UTA
201572,Brook Lopez,1610612749,MIL
